ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Mileage-KM,Engine Power-HP,Purchased Date,Car Sale Status,Sold Date,Purchased Price-$,Sold Price-$,Margin-%,Sales Agent Name,Sales Rating,Sales Commission-$,Feedback
O2KE17,Carmudi,California,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Hybrid,2021,8800,67948,200,2022-10-26,Un Sold,1970-01-01,8296,0,0,Pranav,1,0,Average
EPMPC8,Carousell,Philadelphia,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Hybrid,2018,7600,34637,113,2017-08-25,Sold,2021-03-03,5659,4770,-16,Vihaan,5,0,Good
SQKXAP,Carsome,North Carolina,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Hybrid,2016,9300,33274,120,2018-06-13,Un Sold,1970-01-01,8430,0,0,Aarush,4,0,Good
PWP2QK,Trivett,North Carolina,Plato,Prazo,Convertible,Gray,Automatic,2,2,Petrol,2021,8800,46250,250,2023-05-14,Sold,2024-04-02,6919,7942,15,Anushka,1,205,Average
FNDDKM,Zupps,Portland,Dzire,Maruti,Sedan,Red,Automatic,5,5,Electric,2019,8500,29323,100,2022-08-24,Un Sold,1970-01-01,6864,0,0,Pavan,3,0,Poor
I5D584,Zupps,Denver,Fortuner,Toyota,SUV,Red,Automatic,8,5,Electric,2021,9300,38716,200,2022-06-05,Sold,2024-11-02,8533,9929,16,Preeti,5,279,Excellent
KPRE75,Cars24,New York,Thar,Mahindra,SUV,Gray,Automatic,5,3,Hybrid,2015,9400,83208,130,2021-09-28,Un Sold,1970-01-01,8470,0,0,Pavan,1,0,Excellent
8C1O0B,Ahg,Denver,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Hybrid,2023,7100,21926,103,2020-09-26,Un Sold,1970-01-01,5143,0,0,Shiva,4,0,Poor
KCVVNQ,Olx,Detroit,Yodha,Tata,Truck,Blue,Automatic,3,2,Hybrid,2020,8400,53179,100,2023-06-01,Un Sold,1970-01-01,7375,0,0,Sai,5,0,Excellent
HGW6RK,Nufor,Tennessee,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Petrol,2018,6600,90765,113,2018-05-24,Un Sold,1970-01-01,5324,0,0,Shailaja,5,0,Good
C9QNYY,Carmudi,Texas,Etriga,Maruti,Hatchback,Black,Manual,4,5,Electric,2017,8200,53385,103,2021-03-20,Un Sold,1970-01-01,6730,0,0,Dhruv,5,0,Good
WGSFJS,Carsome,New York,i20,Hyundai,Hatchback,Red,Automatic,4,5,Electric,2024,7500,2243,120,2018-01-22,Un Sold,1970-01-01,6504,0,0,Bhavani,5,0,Poor
MLQ5LC,Trust,Tennessee,Kags,Renault,SUV,Red,Automatic,7,5,Electric,2017,9700,43284,175,2015-03-19,Un Sold,1970-01-01,8199,0,0,Supriya,1,0,Average
SB8EYK,Olx,Oklahoma,Kags,Renault,SUV,Black,Manual,7,5,Petrol,2016,8300,95645,175,2021-12-06,Un Sold,1970-01-01,6347,0,0,Krishna,5,0,Excellent
IKYB6R,Nufor,Tucson,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Electric,2021,9300,95835,120,2022-12-31,Sold,2022-10-22,8557,8896,4,Swathi,2,68,Excellent
80TZC6,Zupps,Chicago,Thar,Mahindra,SUV,Blue,Automatic,5,3,Electric,2023,9100,51909,130,2021-01-05,Un Sold,1970-01-01,7211,0,0,Karan,3,0,Good
TQ9T5W,Olx,New York,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Petrol,2021,6300,7203,113,2024-02-01,Un Sold,1970-01-01,5741,0,0,Shiva,3,0,Average
U7L0OA,Carmix,Philadelphia,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Diesel,2016,6900,66534,113,2022-07-15,Sold,2024-05-10,6382,5418,-15,Vishwajeet,1,0,Good
KFDPP1,Oto,Madison,Kags,Renault,SUV,White,Automatic,7,5,Hybrid,2024,8500,18722,175,2021-09-22,Un Sold,1970-01-01,7127,0,0,Shiva,4,0,Good
Y5SSOY,Carousell,California,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2024,8500,57983,100,2015-03-07,Un Sold,1970-01-01,6835,0,0,Rithvik,2,0,Excellent
8MGCUX,Knox,New York,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2020,9400,70137,130,2019-08-17,Un Sold,1970-01-01,7506,0,0,Krishna,3,0,Excellent
ABOXIG,Olx,North Carolina,Seltos,Kia,Hatchback,Gray,Manual,5,5,Electric,2023,7600,23346,150,2023-03-23,Un Sold,1970-01-01,6741,0,0,Dhruv,5,0,Excellent
VZ5MUR,Automart,Portland,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Hybrid,2021,8800,48354,120,2015-09-25,Un Sold,1970-01-01,7139,0,0,Shruthi,5,0,Excellent
5DJ13V,Motor,Oklahoma,Creta,Hyundai,Hatchback,Black,Manual,5,5,Diesel,2016,6900,95284,113,2016-06-04,Un Sold,1970-01-01,5825,0,0,Anushka,5,0,Good
DGSNQW,Zupps,Tucson,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Diesel,2018,8200,48596,120,2019-10-25,Un Sold,1970-01-01,6427,0,0,Shruthi,5,0,Poor
DOXE81,Marchi,Columbus,Yodha,Tata,Truck,Red,Automatic,3,2,Electric,2024,8500,61262,100,2018-02-17,Sold,2023-08-15,7151,8688,21,Shilpa,3,307,Excellent
SRVVYP,Motor,Chicago,Hilux,Toyota,Truck,Blue,Automatic,4,2,Diesel,2024,7100,64959,200,2021-10-12,Un Sold,1970-01-01,5969,0,0,Rithvik,3,0,Good
